customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
87,55,Female,East,High School,Self-Employed,1264110,94331,Business,438,4,372,66.88974536122288,2020-03-27,0
88,53,Male,North,Post-Graduate,Self-Employed,1202429,801393,Education,493,12,389,14.15728785049442,2020-03-28,0
89,25,Female,North,High School,Self-Employed,1349122,694905,Car,485,2,463,78.77982445480535,2020-03-29,0
90,59,Female,South,Post-Graduate,Salaried,804489,875992,Car,517,11,365,46.66026518120383,2020-03-30,0
91,48,Female,North,Graduate,Unemployed,1246439,890297,Business,463,8,225,30.993286535697155,2020-03-31,0
92,27,Male,North,Graduate,Unemployed,958761,650198,Business,460,8,469,29.34116059837453,2020-04-01,1
93,29,Male,South,Post-Graduate,Self-Employed,431324,447891,Education,824,2,52,48.64112902751604,2020-04-02,0
94,28,Male,South,High School,Unemployed,684273,550201,Education,341,2,384,80.94652315751674,2020-04-03,0
95,32,Female,West,Graduate,Unemployed,1482188,552237,Business,509,11,32,40.26780653461175,2020-04-04,1
96,54,Female,North,High School,Unemployed,1119424,914418,Business,574,4,164,69.97805974268346,2020-04-05,1
97,53,Female,East,Graduate,Self-Employed,506081,781576,Education,578,1,195,17.74549847897749,2020-04-06,0
98,43,Male,South,Post-Graduate,Self-Employed,925084,60068,Home,550,5,258,48.08453617208494,2020-04-07,0
99,44,Male,West,Post-Graduate,Unemployed,1391855,628748,Education,609,6,246,89.33489123141885,2020-04-08,1
100,57,Female,East,Post-Graduate,Unemployed,1445422,937198,Home,439,12,302,71.63502422338695,2020-04-09,0
101,55,Male,North,Graduate,Self-Employed,888332,620706,Car,845,8,143,26.84227907524904,2020-04-10,0
102,42,Male,West,High School,Salaried,926448,338350,Car,829,5,330,50.11531789583286,2020-04-11,1
103,47,Male,South,High School,Unemployed,622132,702468,Education,356,2,399,28.689981091885322,2020-04-12,0
104,55,Male,East,High School,Salaried,270463,836719,Home,411,11,443,42.76487418100074,2020-04-13,1
105,21,Female,South,Graduate,Unemployed,293500,72337,Education,304,4,31,72.40672189879717,2020-04-14,0
106,55,Male,North,Graduate,Salaried,1456348,201738,Education,709,3,370,71.6979852232323,2020-04-15,1
107,57,Male,East,Graduate,Salaried,761446,297667,Home,713,4,97,28.24803023219081,2020-04-16,1
108,34,Male,North,Graduate,Salaried,1333183,706521,Education,481,7,162,83.77786545238881,2020-04-17,1
109,23,Male,North,Graduate,Self-Employed,969305,564241,Car,312,7,134,57.405454621186145,2020-04-18,0
110,21,Female,West,High School,Salaried,533840,937099,Business,638,5,88,40.39394327696116,2020-04-19,1
111,25,Female,South,Graduate,Salaried,1047942,402215,Business,558,0,355,50.15484646246885,2020-04-20,0
112,46,Male,East,Graduate,Salaried,320076,148064,Education,389,7,465,58.4057002750195,2020-04-21,1
113,34,Male,North,High School,Unemployed,1307268,418655,Home,549,7,60,54.79124254766283,2020-04-22,1
114,59,Male,North,Graduate,Salaried,855129,532605,Home,554,1,225,48.91240284289425,2020-04-23,1
115,47,Male,East,High School,Unemployed,917104,457974,Car,407,3,185,50.39462432715201,2020-04-24,0
116,29,Male,North,High School,Salaried,1002242,508996,Home,784,11,367,24.112952834230896,2020-04-25,0
117,35,Male,West,Post-Graduate,Salaried,1122630,820974,Home,557,1,262,75.01863234437435,2020-04-26,1
118,35,Female,West,Post-Graduate,Self-Employed,361081,577466,Car,581,3,463,53.34082559528123,2020-04-27,0
119,46,Male,West,Post-Graduate,Unemployed,1360294,606119,Education,387,11,255,20.486388936376247,2020-04-28,0
120,33,Female,West,Post-Graduate,Salaried,724480,183248,Business,503,12,236,71.29256812662223,2020-04-29,0
121,52,Female,North,Graduate,Unemployed,447536,153306,Car,315,12,115,84.59551827018807,2020-04-30,1
122,59,Male,East,Post-Graduate,Unemployed,236413,214726,Education,450,9,202,85.78455193895697,2020-05-01,0
123,52,Female,East,High School,Self-Employed,1392464,828580,Car,553,6,325,39.52141859289382,2020-05-02,1
124,24,Female,East,Graduate,Self-Employed,1051480,994131,Education,487,8,311,20.84134988486032,2020-05-03,1
125,50,Female,East,Post-Graduate,Self-Employed,775228,757910,Car,628,7,45,51.47197013064521,2020-05-04,1
126,57,Female,South,High School,Self-Employed,764430,424169,Education,843,11,451,19.008738347937655,2020-05-05,0
127,43,Female,East,Graduate,Self-Employed,236468,750270,Car,696,8,213,84.71899348100938,2020-05-06,1
128,59,Female,South,Graduate,Self-Employed,1148202,140417,Education,816,7,431,24.68637018841168,2020-05-07,0
129,35,Male,South,Post-Graduate,Self-Employed,866015,763611,Car,758,1,276,30.221268796093128,2020-05-08,0
130,49,Female,West,Graduate,Self-Employed,1427545,478638,Business,629,6,277,42.530922150797636,2020-05-09,1
131,56,Female,South,High School,Salaried,1126863,61984,Business,468,1,179,40.65315748473006,2020-05-10,1
132,33,Female,North,Graduate,Unemployed,1115480,139312,Home,665,12,48,73.57303139183112,2020-05-11,1
133,52,Male,South,High School,Self-Employed,1484763,242458,Education,477,11,464,46.50534564407699,2020-05-12,0
134,27,Female,West,Graduate,Self-Employed,242056,133291,Car,661,10,148,23.66146080026695,2020-05-13,0
135,42,Male,South,Post-Graduate,Unemployed,251831,843567,Education,339,1,301,31.376791638885926,2020-05-14,1
136,48,Female,North,High School,Salaried,1045623,574608,Business,715,3,61,50.72907081500176,2020-05-15,1
137,22,Male,North,Graduate,Unemployed,973952,537387,Education,654,0,296,21.79631339409079,2020-05-16,0
138,26,Male,North,Graduate,Unemployed,1108380,727044,Car,554,4,298,58.93245405168113,2020-05-17,0
139,48,Female,West,Graduate,Self-Employed,626488,925206,Education,442,5,150,55.25978452409167,2020-05-18,1
140,48,Female,West,High School,Unemployed,832405,465105,Car,310,8,155,67.17618531058062,2020-05-19,0
141,40,Male,East,High School,Unemployed,476815,801209,Business,325,9,434,85.01636923034941,2020-05-20,0
142,50,Female,West,High School,Self-Employed,1193778,410215,Business,720,7,323,82.98036488809245,2020-05-21,0
143,31,Male,North,Post-Graduate,Self-Employed,768242,754259,Business,520,1,193,85.68604944550651,2020-05-22,0
144,48,Male,North,Post-Graduate,Self-Employed,433192,305083,Home,795,0,161,29.577247761896075,2020-05-23,0
145,45,Male,West,High School,Self-Employed,725005,978274,Business,536,1,210,20.525224531148368,2020-05-24,0
146,59,Male,South,Graduate,Unemployed,1429458,684151,Education,536,6,137,34.18213603971588,2020-05-25,1
147,53,Male,West,Post-Graduate,Unemployed,1367272,91777,Home,518,3,296,81.60681382130517,2020-05-26,0
148,21,Female,West,High School,Salaried,1212140,96250,Business,786,9,320,87.76427796987906,2020-05-27,1
149,47,Male,North,Graduate,Salaried,204994,909466,Education,760,4,262,78.74599608563808,2020-05-28,1
150,33,Male,East,Post-Graduate,Unemployed,990666,941372,Education,443,11,498,18.801417690203486,2020-05-29,0
151,23,Female,North,Graduate,Salaried,269300,352274,Education,488,6,275,85.79423984478345,2020-05-30,1
152,59,Male,East,Graduate,Unemployed,506093,525147,Car,554,2,197,43.86864218806288,2020-05-31,1
153,26,Female,North,Graduate,Salaried,761693,754706,Home,367,9,395,10.744823260988294,2020-06-01,1
154,28,Female,West,Graduate,Self-Employed,716479,970041,Education,635,1,239,45.391499259855486,2020-06-02,0
155,47,Female,North,Post-Graduate,Salaried,539679,790122,Car,708,12,280,13.685533574037407,2020-06-03,1
156,29,Male,North,Post-Graduate,Self-Employed,1300293,65216,Business,599,6,268,53.5102336928894,2020-06-04,0
157,57,Male,North,Post-Graduate,Self-Employed,1251339,396293,Education,656,4,308,37.0843221949641,2020-06-05,1
158,53,Male,West,High School,Self-Employed,555054,577297,Car,555,0,424,47.8747946875239,2020-06-06,1
159,44,Female,West,Post-Graduate,Self-Employed,1304056,926336,Education,652,0,207,59.05362885944936,2020-06-07,1
160,35,Male,West,Graduate,Salaried,1455715,734687,Home,820,8,332,79.50408766542563,2020-06-08,1
161,52,Female,West,Post-Graduate,Unemployed,1366670,195281,Home,823,4,65,62.95212611775429,2020-06-09,0
162,52,Male,East,Graduate,Self-Employed,880667,753803,Business,583,0,328,44.723909478254456,2020-06-10,1
163,44,Female,East,High School,Salaried,951731,589317,Education,611,6,212,75.55422829362921,2020-06-11,1
164,32,Male,South,Graduate,Self-Employed,1325424,510829,Car,398,8,280,82.44657100585057,2020-06-12,0
165,59,Male,West,Graduate,Salaried,1416593,784803,Business,496,10,118,19.580797314575776,2020-06-13,0
166,22,Male,East,Graduate,Salaried,992908,238069,Education,781,0,125,52.554638204223316,2020-06-14,0
167,23,Female,North,High School,Salaried,644972,414315,Business,525,9,101,32.76095677939553,2020-06-15,1
168,57,Female,West,Post-Graduate,Unemployed,642899,164456,Car,664,12,147,13.764895830155792,2020-06-16,0
169,37,Male,South,Post-Graduate,Salaried,681215,374703,Business,667,3,431,63.483735609118824,2020-06-17,0
170,22,Male,South,High School,Salaried,900636,901324,Business,374,2,312,79.02166219673805,2020-06-18,0
171,22,Female,South,Graduate,Unemployed,620162,906841,Business,341,4,66,23.032212358191522,2020-06-19,0
172,48,Female,North,Post-Graduate,Unemployed,970050,976139,Education,721,6,59,74.99309260991204,2020-06-20,0
173,43,Female,East,High School,Salaried,1191437,869497,Car,480,7,80,78.27165868295533,2020-06-21,0
174,57,Male,North,Post-Graduate,Unemployed,245095,816759,Home,844,12,408,83.14723541331868,2020-06-22,1
175,52,Female,West,High School,Self-Employed,592118,432688,Education,370,1,411,31.22280712688419,2020-06-23,0
176,53,Male,South,Graduate,Self-Employed,550067,419484,Home,404,6,91,82.31624521519115,2020-06-24,1
177,21,Female,North,Post-Graduate,Unemployed,1357738,83783,Home,499,0,381,35.653020378914576,2020-06-25,0
178,39,Male,North,High School,Unemployed,583071,84152,Education,400,6,114,54.187041076440224,2020-06-26,0
179,22,Female,East,Post-Graduate,Salaried,470170,633029,Education,606,7,97,14.04059766658257,2020-06-27,0
180,46,Female,East,Post-Graduate,Unemployed,471421,943481,Car,676,1,11,13.510487069499488,2020-06-28,1
181,52,Female,South,Post-Graduate,Salaried,373311,494718,Car,698,8,369,67.62985701857623,2020-06-29,0
182,26,Female,North,Post-Graduate,Self-Employed,640880,603380,Business,520,0,93,45.55839823822328,2020-06-30,0
183,52,Female,North,High School,Unemployed,1034440,198725,Home,481,12,491,30.503390029537407,2020-07-01,0
184,24,Male,East,Graduate,Salaried,856030,541215,Car,606,5,52,25.233079681992816,2020-07-02,0
185,31,Female,North,High School,Salaried,1468859,804924,Business,821,0,163,63.59627926873745,2020-07-03,1
186,37,Female,North,High School,Self-Employed,873249,221541,Car,695,2,336,10.03212352202719,2020-07-04,1
187,58,Female,North,High School,Unemployed,899895,828424,Education,303,10,431,74.47129353574834,2020-07-05,1
188,44,Male,East,Graduate,Self-Employed,540686,398627,Car,580,5,103,16.339968490394305,2020-07-06,1
189,25,Female,South,Post-Graduate,Salaried,445144,958017,Home,514,2,307,25.319169192649554,2020-07-07,1
190,54,Male,West,Post-Graduate,Salaried,1444360,371898,Car,719,7,142,40.89891162392717,2020-07-08,0
191,26,Female,South,Post-Graduate,Unemployed,1134137,735338,Home,400,4,404,48.78869917728829,2020-07-09,0
192,42,Female,West,Graduate,Salaried,976505,137592,Education,820,1,74,38.399609265115345,2020-07-10,0
193,31,Male,North,Post-Graduate,Unemployed,1152164,406687,Home,608,3,299,35.656973198743515,2020-07-11,1
194,36,Female,South,Graduate,Self-Employed,531119,93169,Car,809,8,385,87.11328096585507,2020-07-12,0
195,53,Male,West,Post-Graduate,Unemployed,1411820,491503,Business,362,3,266,61.32637449947154,2020-07-13,1
196,29,Male,East,Post-Graduate,Unemployed,652413,104745,Education,525,9,476,11.874636429391057,2020-07-14,0
197,26,Female,East,High School,Salaried,1349734,684456,Car,404,9,395,44.41407267554506,2020-07-15,1
198,36,Male,South,Graduate,Salaried,1176351,688273,Education,724,7,222,80.00069597951762,2020-07-16,0
199,49,Female,South,High School,Unemployed,1063731,841975,Education,554,4,157,34.11649491285344,2020-07-17,0
200,23,Female,North,High School,Salaried,1006608,761752,Car,728,10,70,17.56450758195106,2020-07-18,0
201,40,Male,South,High School,Salaried,1312548,71067,Car,733,10,480,70.67078172719343,2020-07-19,0
202,56,Male,North,Graduate,Salaried,1106450,101033,Business,506,9,158,58.4811065548865,2020-07-20,1
203,39,Male,North,Graduate,Unemployed,482140,95256,Education,327,12,97,55.62500062612031,2020-07-21,0
204,46,Male,East,Post-Graduate,Salaried,848456,795993,Education,635,12,333,14.286124768592634,2020-07-22,0
205,23,Female,East,High School,Unemployed,1415358,289455,Car,368,0,392,21.239920783641388,2020-07-23,0
206,39,Female,West,Post-Graduate,Salaried,1371675,552264,Home,812,6,405,59.8039516970491,2020-07-24,1
207,40,Male,East,High School,Self-Employed,758981,250417,Car,466,2,287,26.625907316706865,2020-07-25,0
208,52,Female,East,Graduate,Salaried,308944,989695,Education,667,9,413,50.325606379873946,2020-07-26,0
209,27,Female,South,Graduate,Salaried,447572,136803,Car,550,7,91,53.59053488235148,2020-07-27,0
210,53,Female,East,Graduate,Unemployed,397097,253814,Business,469,11,138,32.680575221675156,2020-07-28,0
211,59,Female,West,High School,Unemployed,1030948,168843,Home,389,2,295,85.87401244331943,2020-07-29,0
212,38,Male,South,Graduate,Salaried,812084,529809,Car,745,0,391,77.397128546846,2020-07-30,1
213,21,Male,West,High School,Self-Employed,488213,603280,Business,593,4,362,67.78988061062388,2020-07-31,1
214,31,Female,East,Post-Graduate,Salaried,1173737,262603,Education,449,1,289,16.239509312752727,2020-08-01,1
215,48,Male,West,High School,Salaried,1333387,623091,Car,431,10,279,18.490401544721557,2020-08-02,0
216,45,Male,South,Post-Graduate,Self-Employed,1438697,422119,Education,732,3,301,49.422507669196456,2020-08-03,1
217,43,Male,North,High School,Unemployed,580172,768837,Business,358,0,462,22.857067935278856,2020-08-04,0
218,51,Female,West,Post-Graduate,Salaried,654151,194282,Education,498,8,212,88.26123708235792,2020-08-05,0
219,50,Female,West,Graduate,Unemployed,741287,526545,Business,514,5,33,22.681618722192756,2020-08-06,0
220,55,Female,South,Post-Graduate,Unemployed,1444199,76270,Business,771,7,453,48.99742683711792,2020-08-07,0
221,27,Male,South,Graduate,Self-Employed,895532,505224,Business,546,10,360,39.12968454732044,2020-08-08,1
222,36,Female,West,Graduate,Self-Employed,495866,972701,Car,681,3,320,61.150913716327835,2020-08-09,1
223,46,Female,East,Post-Graduate,Unemployed,997057,819217,Education,538,8,470,20.322912711153993,2020-08-10,1
224,22,Male,West,High School,Salaried,398237,581740,Education,666,1,217,44.42531424339127,2020-08-11,0
225,21,Female,South,High School,Unemployed,731147,353630,Home,467,8,289,31.97640262457149,2020-08-12,1
226,32,Female,North,High School,Salaried,1159113,64859,Home,350,11,214,81.02012197373504,2020-08-13,1
227,25,Male,North,High School,Salaried,1160811,994740,Home,679,4,161,13.246856970775607,2020-08-14,0
228,57,Male,East,High School,Self-Employed,835274,999403,Home,773,12,447,83.09819952051674,2020-08-15,1
229,52,Male,West,Graduate,Salaried,1039385,606371,Education,379,5,35,76.63953108424003,2020-08-16,0
230,29,Female,North,High School,Salaried,249522,904140,Business,666,2,203,33.805657315265236,2020-08-17,1
231,55,Female,West,Graduate,Unemployed,430233,161462,Business,760,3,345,73.14325237416838,2020-08-18,1
232,39,Female,South,Graduate,Self-Employed,598102,197735,Car,838,5,431,12.497084827099805,2020-08-19,1
233,36,Male,North,Graduate,Salaried,207485,929508,Business,751,6,247,87.34924402347148,2020-08-20,0
234,23,Male,East,Post-Graduate,Salaried,312701,299737,Education,763,0,330,52.12759540718315,2020-08-21,1
235,40,Female,South,Post-Graduate,Self-Employed,407352,331197,Education,777,6,84,34.26248208523562,2020-08-22,1
236,44,Female,East,Graduate,Unemployed,384514,192157,Education,719,0,444,39.00665700757416,2020-08-23,1
237,53,Male,South,Post-Graduate,Self-Employed,645093,998068,Car,513,4,172,15.312428276839789,2020-08-24,1
238,44,Male,North,High School,Self-Employed,998658,401889,Home,668,5,308,89.14796112336313,2020-08-25,0
239,31,Male,East,High School,Salaried,817693,240167,Business,413,12,38,13.143355612055396,2020-08-26,0
240,28,Male,East,Graduate,Salaried,1458624,643805,Education,802,1,174,62.392569851828725,2020-08-27,1
241,56,Female,South,High School,Unemployed,1205535,726513,Education,610,12,346,45.41887421651666,2020-08-28,1
242,58,Male,East,Graduate,Salaried,237019,186319,Home,768,9,195,85.91329745509721,2020-08-29,1
243,40,Female,South,Graduate,Salaried,1162452,978057,Education,343,8,63,29.679979224543615,2020-08-30,0
244,55,Female,South,High School,Self-Employed,789421,464027,Business,714,9,304,52.566945915040904,2020-08-31,1
245,45,Female,South,Post-Graduate,Salaried,579747,276453,Car,545,5,51,48.58849668662024,2020-09-01,1
246,55,Male,South,High School,Unemployed,358598,973639,Education,383,6,421,66.22931552400811,2020-09-02,0
247,45,Male,North,High School,Self-Employed,852873,186645,Business,506,9,294,15.44081855619364,2020-09-03,0
248,49,Male,South,Graduate,Unemployed,1029827,562035,Education,450,7,436,25.50313040186839,2020-09-04,0
249,38,Male,West,Graduate,Self-Employed,617247,653555,Home,827,10,396,27.165185607427986,2020-09-05,1
250,38,Female,East,Graduate,Salaried,668758,188261,Education,464,12,147,69.05206038733517,2020-09-06,0
251,22,Male,West,Graduate,Self-Employed,1155205,392221,Education,444,9,196,25.131095706139206,2020-09-07,0
252,55,Male,North,Post-Graduate,Self-Employed,574743,486862,Car,336,0,499,55.87934111127814,2020-09-08,1
253,36,Female,West,Post-Graduate,Salaried,225939,388767,Home,632,7,407,27.219505640076296,2020-09-09,0
254,56,Male,East,Post-Graduate,Salaried,1166649,181004,Home,702,3,213,78.92999600671827,2020-09-10,1
255,53,Female,West,Graduate,Unemployed,1137828,555187,Car,713,9,440,85.37483635917108,2020-09-11,1
256,24,Female,North,Graduate,Unemployed,1402515,103687,Education,344,7,51,51.479437995379236,2020-09-12,0
257,53,Female,South,Graduate,Salaried,986635,904744,Business,701,12,359,38.18471073673426,2020-09-13,1
258,34,Female,West,Post-Graduate,Salaried,1134048,157615,Home,505,5,425,28.72462200139993,2020-09-14,0
259,41,Female,North,Graduate,Salaried,1133403,443120,Home,361,10,297,13.982480121843501,2020-09-15,0
260,40,Female,North,High School,Self-Employed,728036,601852,Education,719,8,435,31.48000609579963,2020-09-16,0
261,28,Female,East,High School,Self-Employed,1484670,865267,Education,767,10,425,62.33886239562543,2020-09-17,1
262,27,Female,East,Graduate,Self-Employed,1067196,581985,Home,318,3,35,52.68935450473687,2020-09-18,0
263,23,Male,West,High School,Salaried,1400532,654453,Education,664,1,380,85.52330226247419,2020-09-19,1
